,total_trades,avg_return,median_return,win_rate,max_gain,max_loss,total_return
POSITIVE,1613,-0.04316545511323522,0.11416630662262062,52.38685678859268,21.824478771862953,-16.360844359735616,-69.62587909764841
NEGATIVE,536,-0.08470230630919545,-0.006681224303028976,49.06716417910448,20.694924281715586,-26.09511788955883,-45.400436181728764
STRONGLY_POSITIVE,100,-1.2079099542959117,-0.3097363012268872,42.0,11.376884115401232,-18.066159908531667,-120.79099542959118
STRONGLY_NEGATIVE,109,-0.7126474786463206,0.04651920440285062,50.45871559633027,11.258732203177201,-31.347843380093245,-77.67857517244894
